dam_code,dam_name,latitude,longitude,grid_x,grid_y,obsrdt,inflowqy,lowlevel,rf,rsvwtqy,rsvwtrt,totdcwtrqy,tmp,rain,snow,inflow_lag_1h,rain_lag_1h,discharge_lag_1h,inflow_lag_3h,rain_lag_3h,discharge_lag_3h,inflow_lag_6h,rain_lag_6h,discharge_lag_6h,inflow_lag_12h,rain_lag_12h,discharge_lag_12h,inflow_mean_3h,discharge_mean_3h,inflow_mean_6h,discharge_mean_6h,inflow_mean_12h,discharge_mean_12h,inflow_mean_24h,discharge_mean_24h,rain_sum_3h,rain_sum_6h,rain_sum_12h,rain_sum_24h,rain_sum_48h,rain_sum_72h,discharge_change_lag_1h,discharge_change_lag_3h,forecast_start,forecast_end,forecast_rain_sum,forecast_tmp_latest,forecast_rain_level,data_ready,dashboard_status
2018110,남강,35.16,128.04,79,75,2026-06-04 15:00:00,25.42,38.87,0.0,127.423,41.2,4.614,0,0.0,0,28.91,0.0,4.66,25.611,0.0,39.472,40.81,0.0,39.421,39.026,0.0,39.026,23.236,4.754333333333329,28.805833333333336,22.10666666666667,31.215750000000003,30.637,37.036500000000004,24.632541666666665,0.0,0.2,0.2,0.2,0.4,18.5,-0.04600000000000026,-34.858000000000004,2026-06-04 15:00:00,2026-06-04 20:00:00,0.0,21.0,없음,True,예측준비완료
2021110,밀양,35.5,128.93,95,83,2026-06-04 15:00:00,0.0,184.75,0.0,31.841,43.3,3.035,0,0.0,0,2.463,0.0,2.213,2.938,0.0,1.938,0.072,0.0,3.044,0.783,0.0,3.033,0.8209999999999994,2.392,1.252333333333333,2.1793333333333336,0.9550000000000001,2.61525,1.212375,2.7936666666666667,0.0,0.0,0.0,0.0,1.0,13.6,0.8220000000000001,1.0970000000000002,2026-06-04 15:00:00,2026-06-04 20:00:00,0.0,19.0,없음,True,예측준비완료
3001110,용담,35.94,127.53,70,92,2026-06-04 15:00:00,6.662,250.0,0.0,385.389,47.3,27.773,0,0.0,0,0.0,0.1,27.758,0.0,0.0,27.751,11.008,0.0,27.758,10.567,0.0,27.956,9.197,27.76433333333333,8.8795,27.76066666666667,7.002083333333334,27.834999999999997,6.4035,27.88029166666667,0.1,0.1,0.1,0.1,0.1,0.30000000000000004,0.015000000000000568,0.021999999999998465,2026-06-04 15:00:00,2026-06-04 20:00:00,1.0,20.0,보통,True,예측준비완료
3008110,대청,36.4775,127.48,69,103,2026-06-04 15:00:00,0.0,71.18,0.0,876.447,58.8,17.061,0,0.0,0,0.0,0.0,17.126,177.934,0.0,17.378,0.0,0.0,17.295,0.0,0.0,124.968,63.281,17.11200000000002,61.296166666666664,17.156333333333333,88.94716666666666,39.93266666666667,67.716875,61.32470833333333,0.0,0.0,0.0,0.0,0.0,0.0,-0.06500000000000128,-0.31700000000000017,2026-06-04 15:00:00,2026-06-04 20:00:00,2.0,23.0,보통,True,예측준비완료
3203110,보령,36.36,126.65,54,100,2026-06-04 15:00:00,1.321,63.49,0.0,41.043,35.1,4.404,0,0.0,0,0.0,0.0,4.411,0.0,0.0,4.409,1.975,0.0,4.225,1.091,0.0,4.174,1.1506666666666663,4.408,0.6289999999999999,4.409166666666667,0.8378333333333333,4.185,0.85275,4.189375,0.0,0.0,0.0,0.0,0.0,0.0,-0.006999999999999673,-0.004999999999999893,2026-06-04 15:00:00,2026-06-04 20:00:00,0.0,20.0,없음,True,예측준비완료
3303110,부안,35.69,126.62,54,86,2026-06-04 15:00:00,0.0,38.56,0.0,34.368,68.3,1.39,0,0.0,0,0.005,0.0,1.394,0.697,0.0,1.391,0.006,0.0,1.395,0.651,0.0,1.345,0.01533333333333326,1.3953333333333333,0.24383333333333335,1.3916666666666666,0.2383333333333333,1.3829166666666666,0.29129166666666667,1.3347916666666666,0.0,0.0,0.0,0.0,0.0,0.0,-0.0040000000000000036,-0.001000000000000112,2026-06-04 15:00:00,2026-06-04 20:00:00,0.0,21.0,없음,True,예측준비완료
4001110,섬진강,35.54,127.14,63,83,2026-06-04 15:00:00,0.0,183.08,0.0,182.998,39.3,35.751,0,0.0,0,3.236,0.0,35.736,11.328,0.0,35.745,7.012,0.0,35.734,4.606,0.0,35.717,1.6420000000000006,35.74433333333334,4.269833333333334,35.74033333333333,2.9769166666666664,35.73308333333333,3.330166666666667,35.715583333333335,0.0,0.0,0.0,0.0,0.0,0.3,0.015000000000000568,0.006000000000000227,2026-06-04 15:00:00,2026-06-04 20:00:00,2.0,20.0,보통,True,예측준비완료
4007110,주암(본),35.07,127.24,65,72,2026-06-04 15:00:00,12.438,102.07,0.0,260.687,57.0,22.716,0,0.0,0,9.761,0.0,22.733,11.042,0.0,21.875,0.0,0.0,22.776,47.662,0.0,22.801,15.527,22.730666666666668,20.506166666666665,21.9505,19.88383333333333,22.369833333333332,28.362416666666665,22.585708333333333,0.0,0.0,0.0,0.0,0.0,65.7,-0.01699999999999946,0.8410000000000011,2026-06-04 15:00:00,2026-06-04 20:00:00,0.0,20.0,없음,True,예측준비완료
4104610,주암(조),35.06,127.31,66,72,2026-06-04 15:00:00,14.389,94.11,0.0,125.892,50.4,0.0,0,0.0,0,17.917,0.0,0.0,14.361,0.0,0.0,12.773,0.0,16.606,14.745,0.0,16.162,16.555666666666667,0.0,19.0105,0.047499999999999994,17.397166666666667,8.033666666666667,16.456833333333332,9.8815,0.0,0.0,0.0,0.0,0.0,55.9,0.0,0.0,2026-06-04 15:00:00,2026-06-04 20:00:00,0.0,21.0,없음,True,예측준비완료
5101110,장흥,34.76,126.93,60,66,2026-06-04 15:00:00,5.214,72.89,0.0,104.215,54.6,5.214,0,0.0,0,5.186,0.0,5.186,3.073,0.0,5.156,5.194,0.0,5.194,4.948,0.0,4.948,5.879999999999996,5.185666666666667,8.5825,5.110333333333333,8.540166666666666,5.07025,9.387208333333332,5.051541666666667,0.0,0.0,0.0,0.0,0.0,81.4,0.02800000000000047,0.05800000000000072,2026-06-04 15:00:00,2026-06-04 20:00:00,0.0,19.0,없음,True,예측준비완료
