예측구간,예측시간,댐수,평균_MAE,평균_RMSE,평균_R2,평균_구간포함률,평균_구간폭,평균_미래누적강수
1일,24,20,179.0155434493492,383.4633237054401,-0.8193819649928269,0.5624806606972381,411.5018215587517,4.004942341825269
3일,72,20,711.9546909526553,1389.7364912938756,-5.347417983152434,0.4721379643461908,1357.7629132687916,12.14772519272147
5일,120,20,1366.6965986450414,2344.395086770261,-18.734480748317733,0.42309061172582074,1926.5485576104627,20.352853835569324
