댐코드,댐이름,예측시점,예측시간,모델,분류임계값,학습건수,평가건수,변화학습건수,변화평가건수,관심구간기준,모델_MAE,모델_MSE,모델_RMSE,모델_MAPE,모델_R2,기준선_MAE,기준선_MSE,기준선_RMSE,기준선_MAPE,기준선_R2,MAE_개선율(%),Precision,Recall,F1,Accuracy,실제변화건수,예측변화건수
1003110,충주,3시간뒤,3,RF분류 + GradientBoostingDelta,0.6499999999999999,17472,11793,1945,1408,"rain/rf 발생, 24h 누적강수 발생, 또는 댐별 유입량 상위 25%",15.071245723792218,3739.886703591905,61.1546131014816,271.8224983540668,-0.06313532723554882,24.376936318154833,6519.653989799033,80.74437435387702,1897.504175136717,-0.8533380894267553,38.174159676629095,0.9494007989347537,0.5063920454545454,0.6604909680407596,0.9378444840159417,1408,751
1006110,횡성,3시간뒤,3,RF분류 + GradientBoostingDelta,0.2,7608,4416,102,25,"rain/rf 발생, 24h 누적강수 발생, 또는 댐별 유입량 상위 25%",0.919983014587814,26.603635265962886,5.157871195169853,8.974825615905429,0.8268438502055149,0.3545520833333334,6.493460620018117,2.5482269561438433,8.616342401221216,0.9577357519540571,-159.47753738704975,0.07692307692307693,0.4,0.12903225806451613,0.9694293478260869,25,130
1012110,소양강,3시간뒤,3,RF분류 + GradientBoostingDelta,0.5499999999999999,17472,11793,1817,1500,"rain/rf 발생, 24h 누적강수 발생, 또는 댐별 유입량 상위 25%",9.26390373317873,1081.1421374472027,32.880725926402576,77.8259291083746,0.06642869794381678,13.763264648520309,1753.0547080810652,41.86949615270125,425.16140644592576,-0.513770955466885,32.69108769063237,0.883668903803132,0.5266666666666666,0.6599832915622389,0.9309760027134741,1500,894
2001110,안동,3시간뒤,3,RF분류 + GradientBoostingDelta,0.49999999999999994,7020,5443,2323,3097,"rain/rf 발생, 24h 누적강수 발생, 또는 댐별 유입량 상위 25%",19.23509318500966,974.6130230349918,31.218792786316893,1383.6507034011813,0.16541229227681398,33.966229285320594,2380.725020252434,48.792673837907614,691.304605339841,-1.038679753307973,43.36994835831655,0.7982676725342275,0.9225056506296416,0.8559017375674056,0.8232592320411538,3097,3579
2002110,임하,3시간뒤,3,RF분류 + GradientBoostingDelta,0.49999999999999994,7422,4190,3106,1176,"rain/rf 발생, 24h 누적강수 발생, 또는 댐별 유입량 상위 25%",10.520947088503824,391.3326054239519,19.78212843512932,143.09043834047733,-0.2834289758510842,11.232130787589497,534.4219239131265,23.11756743070357,144.67881254293334,-0.7527100297127689,6.331689975258012,0.6135265700483091,0.7559523809523809,0.6773333333333333,0.7978520286396181,1176,1449
2002111,성덕,3시간뒤,3,RF분류 + GradientBoostingDelta,0.44999999999999996,7245,7375,36,0,"rain/rf 발생, 24h 누적강수 발생, 또는 댐별 유입량 상위 25%",0.0046683389830508475,0.002034954983050847,0.04511047531395393,16.183640057683263,0.801444756411697,0.0046683389830508475,0.002034954983050847,0.04511047531395393,16.183640057683263,0.801444756411697,0.0,0.0,0.0,0.0,1.0,0,0
2004101,영주,3시간뒤,3,RF분류 + GradientBoostingDelta,0.44999999999999996,7368,4234,223,29,"rain/rf 발생, 24h 누적강수 발생, 또는 댐별 유입량 상위 25%",0.1676393618259058,0.9386158607678666,0.9688218932125071,63.18560230018393,0.9202324623758715,0.13443410486537552,0.7535500604629194,0.8680726124368395,62.85699517501298,0.9359601352245783,-24.70002459106829,0.0,0.0,0.0,0.9863013698630136,29,29
2008101,군위,3시간뒤,3,RF분류 + GradientBoostingDelta,0.3,7546,4245,14,0,"rain/rf 발생, 24h 누적강수 발생, 또는 댐별 유입량 상위 25%",0.01880563559349398,0.01552136494308212,0.12458477010887856,166.3674073861111,0.8994733791043151,0.018805889281507657,0.015521365606595993,0.12458477277177975,166.3674254720635,0.8994733748069607,0.0013489817465075129,0.0,0.0,0.0,0.9988221436984688,0,5
2012101,보현산,3시간뒤,3,RF분류 + GradientBoostingDelta,0.25,7432,5307,3,0,"rain/rf 발생, 24h 누적강수 발생, 또는 댐별 유입량 상위 25%",0.0022106651592236665,0.00020479329187865082,0.01431060068196478,1.3918666758025107,0.29492034664444455,0.0022106651592236665,0.00020479329187865082,0.01431060068196478,1.3918666758025107,0.29492034664444455,0.0,0.0,0.0,0.0,1.0,0,0
2015110,합천,3시간뒤,3,RF분류 + GradientBoostingDelta,0.44999999999999996,7794,3814,2964,1705,"rain/rf 발생, 24h 누적강수 발생, 또는 댐별 유입량 상위 25%",8.2806819220721,263.80570359708054,16.242096650281347,859.2990245451997,0.5392328557594784,18.096011798636603,765.9938516153644,27.67659393088977,290.98046488460176,-0.33789677289795805,54.24029330763375,0.7553342816500711,0.9343108504398827,0.8353434714210802,0.8353434714210802,1705,2109
2018110,남강,3시간뒤,3,RF분류 + GradientBoostingDelta,0.3,7087,3680,1165,775,"rain/rf 발생, 24h 누적강수 발생, 또는 댐별 유입량 상위 25%",9.668582613663409,739.9244159853791,27.201551720175434,64.44981702785167,0.8854544134548332,9.39945597826087,637.1040051581522,25.240919261353223,80.94315306511574,0.90137174772922,-2.8632150203690245,0.5619047619047619,0.7612903225806451,0.6465753424657534,0.8247282608695652,775,1050
2021110,밀양,3시간뒤,3,RF분류 + GradientBoostingDelta,0.5999999999999999,8268,3775,94,14,"rain/rf 발생, 24h 누적강수 발생, 또는 댐별 유입량 상위 25%",0.12092847682119205,1.5742124272847682,1.2546762240852292,2.137096918695665,0.8040998820102169,0.12092847682119205,1.5742124272847682,1.2546762240852292,2.137096918695665,0.8040998820102169,0.0,0.0,0.0,0.0,0.9962913907284768,14,0
3001110,용담,3시간뒤,3,RF분류 + GradientBoostingDelta,0.2,7420,4398,499,219,"rain/rf 발생, 24h 누적강수 발생, 또는 댐별 유입량 상위 25%",1.5165850010515463,55.87624530300108,7.475041491724382,5.601469134160348,0.8989811772078072,0.9115306957708049,38.163763702137345,6.177682712970726,3.5165168196031047,0.9310036230673097,-66.37783105802025,0.24166666666666667,0.3972602739726027,0.3005181347150259,0.907912687585266,219,360
3008110,대청,3시간뒤,3,RF분류 + GradientBoostingDelta,0.35,7643,5339,2555,2433,"rain/rf 발생, 24h 누적강수 발생, 또는 댐별 유입량 상위 25%",39.349105363744165,6449.586024131424,80.30931467850678,205.42247214146494,-0.22779838838637811,43.689750702378724,4869.379046205843,69.78093612302607,224.9604449603777,0.07302333467533151,9.935157030772961,0.6548117154811716,0.9005343197698314,0.7582626752033224,0.7383405132047199,2433,3346
3203110,보령,3시간뒤,3,RF분류 + GradientBoostingDelta,0.5499999999999999,7168,4233,68,24,"rain/rf 발생, 24h 누적강수 발생, 또는 댐별 유입량 상위 25%",0.30190526813134894,1.8404686116229627,1.3566387181644797,6.549541318458313,0.9493882200989691,0.30190526813134894,1.8404686116229627,1.3566387181644797,6.549541318458313,0.9493882200989691,0.0,0.0,0.0,0.0,0.9943302622253721,24,0
3303110,부안,3시간뒤,3,RF분류 + GradientBoostingDelta,0.44999999999999996,7483,4403,100,9,"rain/rf 발생, 24h 누적강수 발생, 또는 댐별 유입량 상위 25%",0.10439132409720642,0.13176716261639793,0.36299746915976966,5.962000947750996,0.9661945980424576,0.10439132409720642,0.13176716261639793,0.36299746915976966,5.962000947750996,0.9661945980424576,0.0,0.0,0.0,0.0,0.9979559391324098,9,0
4001110,섬진강,3시간뒤,3,RF분류 + GradientBoostingDelta,0.2,7816,4447,351,281,"rain/rf 발생, 24h 누적강수 발생, 또는 댐별 유입량 상위 25%",1.894402755863221,52.5888249527937,7.251815286726055,8.760258963635225,0.9420830348082393,1.2366168203283114,46.1539949185968,6.793673153647944,6.043896758548592,0.9491698223042524,-53.19238140075379,0.2311111111111111,0.5551601423487544,0.3263598326359833,0.8551832696199685,281,675
