dam_code,dam_name,station_code,station_name,basin,latitude,longitude,observation_start_year,distance_km,rank_no,mapping_type,note
2021110,밀양,2021620,양산시(대리),,,,,,103,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
3001110,용담,3002630,진안군(신용담교),금강,35.95138889,127.52777778,2001.0,1.28,1,DISTANCE_CANDIDATE,거리 기반 후보입니다. 공식 하류 대표 관측소 여부는 추가 확인 필요
3001110,용담,3004620,금산군(적벽교),금강,36.04888889,127.59333333,1992.0,13.38,2,DISTANCE_CANDIDATE,거리 기반 후보입니다. 공식 하류 대표 관측소 여부는 추가 확인 필요
3001110,용담,3001640,진안군(성산리),금강,35.81916667,127.54416667,1999.0,13.50,3,DISTANCE_OFFICIAL,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
3001110,용담,8000120,대야교,,,,,,101,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
3001110,용담,3001661,동정교,,,,,,102,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
3001110,용담,8000121,섬티교,,,,,,103,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
3001110,용담,3001620,장수군(연화교),금강,35.78583333,127.52722222,1999.0,,104,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
3001110,용담,3001664,주고교,,,,,,105,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
3001110,용담,3001663,진안군(석정교),,,,,,106,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
3001110,용담,3001662,진안군(송대교),,,,,,108,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
3001110,용담,3002650,진안군(신용담교),,,,,,109,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
3001110,용담,3001660,진안군(용담댐),,,,,,110,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
3001110,용담,3002660,진안군(용담댐방수로),,,,,,111,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
3001110,용담,3001665,진안군(주천교),,,,,,112,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
3001110,용담,9000274,진안군(하향교),,,,,,113,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
3008110,대청,3008690,대청댐방수로,금강,36.47583333,127.48388889,1979.0,0.39,1,DISTANCE_OFFICIAL,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
3008110,대청,3007670,옥천군(산계리),금강,36.31083333,127.73722222,1979.0,29.56,2,DISTANCE_OFFICIAL,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
3008110,대청,3006680,옥천군(이원대교),금강,36.23750000,127.67138889,1979.0,31.72,3,DISTANCE_OFFICIAL,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
3008110,대청,3012630,공주시(평소리),금강,36.50222222,126.98666667,1996.0,,101,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
3008110,대청,3004620,금산군(적벽교),금강,36.04888889,127.59333333,1992.0,,102,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
3008110,대청,9000241,나성간이,,,,,,103,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
3008110,대청,9000242,두평,,,,,,105,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
3008110,대청,3005680,영동군(율리),금강,36.22694444,127.80722222,1992.0,,106,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
3008110,대청,3004650,영동군(호탄리),금강,36.12888889,127.65222222,1987.0,,107,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
3008110,대청,3008110,청주시(대청댐),,,,,,110,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
3008110,대청,8000094,청주시(대청댐보조수위),,,,,,111,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
3203110,보령,3203640,보령시(보령댐),금강서해,36.23583333,126.64861111,1996.0,13.81,1,DISTANCE_CANDIDATE,거리 기반 후보입니다. 공식 하류 대표 관측소 여부는 추가 확인 필요
3203110,보령,3203645,보령시(보령댐방수로),금강서해,36.23555556,126.64555556,1998.0,13.84,2,DISTANCE_CANDIDATE,거리 기반 후보입니다. 공식 하류 대표 관측소 여부는 추가 확인 필요
3203110,보령,3012630,공주시(평소리),금강,36.50222222,126.98666667,1996.0,34.02,3,DISTANCE_CANDIDATE,거리 기반 후보입니다. 공식 하류 대표 관측소 여부는 추가 확인 필요
3203110,보령,8000084,대창교,,,,,,101,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
3203110,보령,9900004,보령 수위감지,,,,,,102,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
3203110,보령,3203110,보령시(보령댐),,,,,,103,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
3203110,보령,8000083,보령시(보령댐방수로),,,,,,104,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
3203110,보령,9000258,부사방조제 내수위,,,,,,105,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
3203110,보령,9000259,부사방조제 외수위,,,,,,106,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
3203110,보령,3203638,웅천(보령댐),,,,,,107,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
3303110,부안,4001660,순창군(운암교),섬진강,35.50388889,127.01388889,2009.0,41.19,1,DISTANCE_CANDIDATE,거리 기반 후보입니다. 공식 하류 대표 관측소 여부는 추가 확인 필요
