댐코드,댐이름,예측시점,예측시간,모델,학습건수,평가건수,방류변화_평가건수,최고기준선,기준선_MAE,모델_MAE,MAE_개선율(%),모델_RMSE,모델_R2,방류변화_최고기준선,방류변화_기준선_MAE,방류변화_모델_MAE,방류변화_MAE_개선율(%),변화신호_적중률,강수예보대리변수
2015110,합천,3시간뒤,3,XGBoost,17241,8601,4255,최근6시간평균,18.67226899972871,9.907254020090438,46.941349119197135,13.87361765632899,0.6641654140770913,최근6시간평균,26.454334155895026,12.544631622279272,52.58005153955517,0.8197883966980584,forecast_rain_sum_3h
2001110,안동,3시간뒤,3,XGBoost,17082,8760,4420,최근6시간평균,31.0627453957382,19.82318906834403,36.183396490563375,26.11632624605638,0.41783758638488855,최근6시간평균,45.1430266214178,26.711419403645547,40.82935637511621,0.6325342465753425,forecast_rain_sum_3h
4104610,주암(조),3시간뒤,3,XGBoost,17471,8760,4220,현재방류량유지,6.73137100456621,4.5660518555644165,32.16757994074245,6.2177870659267915,0.601407943064564,최근6시간평균,10.37562345971564,6.047597340239225,41.71340774152411,0.7802511415525114,forecast_rain_sum_3h
3008110,대청,3시간뒤,3,XGBoost,17394,8316,3604,최근6시간평균,36.45170250120251,35.11902940207308,3.6559968607377558,51.967190634711194,0.39531262066077877,최근6시간평균,59.90036034036255,46.628887552986996,22.155914775746126,0.5352332852332853,forecast_rain_sum_3h
1012110,소양강,3시간뒤,3,XGBoost,17471,8760,1186,최근3시간평균,14.479178082191781,15.330465689121688,-5.879391786588504,35.27317215985147,0.03058204993428948,최근6시간평균,66.52290331646992,59.27245265342132,10.899179533033877,0.42111872146118723,forecast_rain_sum_3h
2002110,임하,3시간뒤,3,XGBoost,17097,8760,2246,현재방류량유지,9.903031392694063,10.64018512271953,-7.443717996989288,16.143349939289866,0.03162209383849257,최근6시간평균,28.819761947165333,19.63804949868033,31.85908497550272,0.6578767123287671,forecast_rain_sum_3h
2018110,남강,3시간뒤,3,XGBoost,16558,8440,2188,현재방류량유지,11.063133412322275,12.044933250544535,-8.874518652452638,22.42423509943305,0.8680986080849179,현재방류량유지,41.65913345521024,28.025847911031853,32.72580203531164,0.6708530805687204,forecast_rain_sum_3h
1003110,충주,3시간뒤,3,XGBoost,17471,8760,828,최근3시간평균,21.763304414003045,25.130630410282578,-15.47249412232139,65.88581794483112,-0.2842280193330178,최근6시간평균,140.12335144927536,121.10996705656468,13.569033423806967,0.09531963470319635,forecast_rain_sum_3h
3303110,부안,3시간뒤,3,XGBoost,17471,8760,9,현재방류량유지,0.07897397260273971,0.10280912159534349,-30.181018134292138,0.3767939245399695,0.9335263128091444,현재방류량유지,6.056444444444445,2.7866021130879726,53.989471237631626,0.9986301369863013,forecast_rain_sum_3h
5101110,장흥,3시간뒤,3,XGBoost,17396,8760,64,현재방류량유지,0.3066683789954338,0.5096493554879542,-66.18907927756801,3.128554585248574,0.9185508197675817,현재방류량유지,23.737140625000002,24.093350999027493,-1.5006456744513248,0.9835616438356164,forecast_rain_sum_3h
3001110,용담,3시간뒤,3,XGBoost,17056,8529,479,현재방류량유지,0.8462871379997655,1.4173931305883414,-67.48371409004376,7.471443784384516,0.8666067323259041,최근6시간평균,7.635667014613778,7.284882178957627,4.594030030183218,0.9445421503107047,forecast_rain_sum_3h
4007110,주암(본),3시간뒤,3,XGBoost,17180,8648,700,현재방류량유지,2.4572251387604074,4.450652938208461,-81.1251589446816,13.706334703056493,0.8710309392535975,최근6시간평균,17.377596428571426,20.388134632868084,-17.32424974116025,0.6850138760407031,forecast_rain_sum_3h
4001110,섬진강,3시간뒤,3,XGBoost,17212,8526,506,현재방류량유지,1.1083715693173821,2.428798228947959,-119.13213007112714,12.268282858372233,0.8079364912256275,현재방류량유지,15.948462450592885,17.326661293674363,-8.641578129246202,0.9331456720619282,forecast_rain_sum_3h
2008101,군위,3시간뒤,3,XGBoost,17471,8760,0,현재방류량유지,0.016984703196347033,0.04046200927433359,-138.22617802962796,0.12069036322246145,0.8269021432992318,,,,,1.0,forecast_rain_sum_3h
